 ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ASUC Fiscal Year 2025 General Budget [FINAL],,,,,,,,,,
ASUC Chief Financial Officer: Catherine Park,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ASUC Chartered Programs and Commissions,,,,,,,,,,
Organization,Sponsorship Category,,OASIS Org ID,SUFIN Account (External ID),Finance Rule Waiver,,Contingency Funding,Space Reservation Funding,Final Allocation,Total Funding
African Maghreb Student Union,Student Activity Group (SAG),2,46086,34020603200000,,,,,$500,$500
AFX Dance,Student Activity Group (SAG),12,91705,34020015200000,,,,,SPONSORSHIP ONLY (ABSA),$0
Aglet Noise Collective,Student Activity Group (SAG),2,378433,34020583600000,,,,,$650,$650
Alpha Epsilon Omega,Student Activity Group (SAG),1,94109,34020605600000,,,,,$500,$500
"Alpha Kappa Alpha Sorority, Inc.",Student Activity Group (SAG),2,45987,34020017200000,,,,,SPONSORSHIP ONLY (ABSA),$0
alpha Kappa Delta Phi,Student Activity Group (SAG),3,91909,34020535200000,,,,,$585,$585
"Alpha Phi Alpha Fraternity Inc, Alpha Epsilon Chapter",Student Activity Group (SAG),21,45988,34020018400000,,,,,"$4,000","$4,000"
American Advertising Federations,Student Activity Group (SAG),8,45858,34020020400000,,,,,$500,$500
American Chemical Society at Berkeley Student Chapter,Student Activity Group (SAG),9,158433,34020354400000,,,,,"$5,000","$5,000"
American Institute of Architecture Students,Student Activity Group (SAG),14,46423,34020021200000,,,,,"$1,080","$1,080"
American Medical Students Association: Berkeley Premedical Chapter,Student Activity Group (SAG),26,45859,34020021600000,,,,,"$1,800","$1,800"
American Medical Women's Association at Berkeley,Student Activity Group (SAG),9,91324,34020022000000,,,,,"$1,600","$1,600"
American Physician Scientist Association at Berkeley,Student Activity Group (SAG),1,220489,34020439600000,,,,,$500,$500
Amores Valientes,Student Activity Group (SAG),2,91713,34020576000000,,,,,SPONSORSHIP ONLY (ABSA),$0
ANova,Student Activity Group (SAG),8,135400,34020309600000,,,,,SPONSORSHIP ONLY (ABSA),$0
ANRE AI Berkeley,Student Activity Group (SAG),1,385035,34020599200000,,,,,$500,$500
Arab Student Union,Student Activity Group (SAG),13,45863,34020025600000,,,,,"$1,500","$1,500"
Argentine Tango Club of Berkeley,Student Activity Group (SAG),5,46536,34020026000000,,,,,$855,$855
Armenian Students Association,Student Activity Group (SAG),2,45865,34020026400000,,,,,$650,$650
Arnold Air Society,Student Activity Group (SAG),7,91798,34020392800000,,,,,"$3,000","$3,000"
Aro/Ace Space at Berkeley,Student Activity Group (SAG),2,351118,34020528400000,,,,,$650,$650
Art and Mind,Student Activity Group (SAG),7,221627,34020427600000,,,,,$500,$500
Artists in Resonance,Student Activity Group (SAG),10,46731,34020294000000,,,,,"$3,375","$3,375"
Asian American Association,Student Activity Group (SAG),27,45870,34020028800000,,,,,"$5,400","$5,400"
Association for Socially Responsible Business,Student Activity Group (SAG),7,91682,34020371600000,,,,,$900,$900
Association of Korean Artists,Student Activity Group (SAG),5,220977,34020422000000,,,,,$200,$200
Association of Women in EE&CS,Student Activity Group (SAG),3,342808,34020530800000,,,,,SPONSORSHIP ONLY (ABSA),$0
Atlas Strategy Group,Student Activity Group (SAG),2,378444,34020578000000,,,,,SPONSORSHIP ONLY (ABSA),$0
Aurum Cosmetics,Student Activity Group (SAG),6,157733,34020357200000,,,,,$720,$720
Backstage At Berkeley,Student Activity Group (SAG),1,375307,34020576400000,,,,,SPONSORSHIP ONLY (ABSA),$0
