Organization,Sponsorship Category,OASIS Org ID,SUFIN Account (External ID),Finance Rule Waiver,Contingency Funding,Space Reservation Funding,Final Allocation,Total Funding,Org Category,Years of Sponsorship
AAAA - Furries at Berkeley,Student Activity Group (SAG),92145,34020542800000,,,,$650,$650,Student Activity Groups (SAG),3
acts2fellowship,Student Activity Group (SAG),45854,34020013200000,,,,"$5,760","$5,760",Student Activity Groups (SAG),23
Aerial and Pole Club at Berkeley,Student Activity Group (SAG),361228,34020560000000,,,,$650,$650,Student Activity Groups (SAG),2
Aerospace SAE,Student Activity Group (SAG),92082,34020299600000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),4
African Inclusivity and Solidarity Association,Student Activity Group (SAG),77191,34020177200000,,,,$500,$500,Student Activity Groups (SAG),1
African Maghreb Student Union,Student Activity Group (SAG),46086,34020603200000,,,,$500,$500,Student Activity Groups (SAG),2
AFX Dance,Student Activity Group (SAG),91705,34020015200000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),12
Aglet Noise Collective,Student Activity Group (SAG),378433,34020583600000,,,,$650,$650,Student Activity Groups (SAG),2
Alpha Epsilon Omega,Student Activity Group (SAG),94109,34020605600000,,,,$500,$500,Student Activity Groups (SAG),1
"Alpha Kappa Alpha Sorority, Inc.",Student Activity Group (SAG),45987,34020017200000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),2
alpha Kappa Delta Phi,Student Activity Group (SAG),91909,34020535200000,,,,$585,$585,Student Activity Groups (SAG),3
"Alpha Phi Alpha Fraternity Inc, Alpha Epsilon Chapter",Student Activity Group (SAG),45988,34020018400000,,,,"$4,000","$4,000",Student Activity Groups (SAG),21
American Advertising Federations,Student Activity Group (SAG),45858,34020020400000,,,,$500,$500,Student Activity Groups (SAG),8
American Chemical Society at Berkeley Student Chapter,Student Activity Group (SAG),158433,34020354400000,,,,"$5,000","$5,000",Student Activity Groups (SAG),9
American Institute of Architecture Students,Student Activity Group (SAG),46423,34020021200000,,,,"$1,080","$1,080",Student Activity Groups (SAG),14
American Medical Students Association: Berkeley Premedical Chapter,Student Activity Group (SAG),45859,34020021600000,,,,"$1,800","$1,800",Student Activity Groups (SAG),26
American Medical Women's Association at Berkeley,Student Activity Group (SAG),91324,34020022000000,,,,"$1,600","$1,600",Student Activity Groups (SAG),9
American Physician Scientist Association at Berkeley,Student Activity Group (SAG),220489,34020439600000,,,,$500,$500,Student Activity Groups (SAG),1
Amores Valientes,Student Activity Group (SAG),91713,34020576000000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),2
ANova,Student Activity Group (SAG),135400,34020309600000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),8
ANRE AI Berkeley,Student Activity Group (SAG),385035,34020599200000,,,,$500,$500,Student Activity Groups (SAG),1
Arab Student Union,Student Activity Group (SAG),45863,34020025600000,,,,"$1,500","$1,500",Student Activity Groups (SAG),13
Argentine Tango Club of Berkeley,Student Activity Group (SAG),46536,34020026000000,,,,$855,$855,Student Activity Groups (SAG),5
Armenian Students Association,Student Activity Group (SAG),45865,34020026400000,,,,$650,$650,Student Activity Groups (SAG),2
Arnold Air Society,Student Activity Group (SAG),91798,34020392800000,,,,"$3,000","$3,000",Student Activity Groups (SAG),7
Aro/Ace Space at Berkeley,Student Activity Group (SAG),351118,34020528400000,,,,$650,$650,Student Activity Groups (SAG),2
Art and Mind,Student Activity Group (SAG),221627,34020427600000,,,,$500,$500,Student Activity Groups (SAG),7
Artists in Resonance,Student Activity Group (SAG),46731,34020294000000,,,,"$3,375","$3,375",Student Activity Groups (SAG),10
Asian American Association,Student Activity Group (SAG),45870,34020028800000,,,,"$5,400","$5,400",Student Activity Groups (SAG),27
Association for Socially Responsible Business,Student Activity Group (SAG),91682,34020371600000,,,,$900,$900,Student Activity Groups (SAG),7
Association of Korean Artists,Student Activity Group (SAG),220977,34020422000000,,,,$200,$200,Student Activity Groups (SAG),5
Association of Women in EE&CS,Student Activity Group (SAG),342808,34020530800000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),3
Atlas Strategy Group,Student Activity Group (SAG),378444,34020578000000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),2
Aurum Cosmetics,Student Activity Group (SAG),157733,34020357200000,,,,$720,$720,Student Activity Groups (SAG),6
Backstage At Berkeley,Student Activity Group (SAG),375307,34020576400000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),1
Ballet Company At Berkeley,Student Activity Group (SAG),46565,34020035600000,,,,"$1,980","$1,980",Student Activity Groups (SAG),13
Ballet Folklorico Reflejos Del Sol,Student Activity Group (SAG),91710,34020036000000,,,,$960,$960,Student Activity Groups (SAG),11
Barbell at Berkeley,Student Activity Group (SAG),135269,34020365600000,,,,$500,$500,Student Activity Groups (SAG),2
Bay Area Environmentally Aware Consulting Network,Student Activity Group (SAG),46015,34020036800000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),14
BCS Organizing Committee,Student Activity Group (SAG),222091,34020530400000,,,,$650,$650,Student Activity Groups (SAG),3
Bear Power Fund,Student Activity Group (SAG),119164,34020468400000,,,,"$2,385","$2,385",Student Activity Groups (SAG),5
Behavioral Economics Association at Berkeley,Student Activity Group (SAG),360312,34020555200000,,,,$650,$650,Student Activity Groups (SAG),3
BERC Undergraduate,Student Activity Group (SAG),230963,34020043600000,,,,$450,$450,Student Activity Groups (SAG),5
BERKE1337 Cyber Security Team,Student Activity Group (SAG),91452,34020529200000,,,,$650,$650,Student Activity Groups (SAG),2
Berkeley Chinese Students and Scholars Association,Student Activity Group (SAG),46468,34020042000000,,,,"$5,000","$5,000",Student Activity Groups (SAG),18
Berkeley Environmental Economics and Policy Students,Student Activity Group (SAG),91482,34020044000000,,,,$460,$460,Student Activity Groups (SAG),2
Berkeley Indonesian Student Association,Student Activity Group (SAG),"45,889",34020045600000,,,,$650,$650,Student Activity Groups (SAG),7
Berkeley Innovation,Student Activity Group (SAG),91216,34020046000000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),8
Berkeley Organization for Animal Advocacy,Student Activity Group (SAG),45892,34020047600000,,,,$540,$540,Student Activity Groups (SAG),9
Berkeley Women in Business,Student Activity Group (SAG),45896,34020051200000,,,,$650,$650,Student Activity Groups (SAG),20
Beta Corporate Solutions,Student Activity Group (SAG),147516,34020489200000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),2
BIA at Berkeley,Student Activity Group (SAG),378033,34020584000000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),1
Big Data at Berkeley,Student Activity Group (SAG),235179,34020441200000,,,,$585,$585,Student Activity Groups (SAG),6
Bioengineering Mentor Program,Student Activity Group (SAG),362064,34020547200000,,,,$500,$500,Student Activity Groups (SAG),3
BioethiCAL,Student Activity Group (SAG),304125,34020557200000,,,,$650,$650,Student Activity Groups (SAG),3
Biofuels Technology Club,Student Activity Group (SAG),132779,34020402800000,,,,"$5,400","$5,400",Student Activity Groups (SAG),6
Biomedical Engineering Society,Student Activity Group (SAG),91227,34020469600000,,,,$500,$500,Student Activity Groups (SAG),5
Black Pre-Law Association,Student Activity Group (SAG),46341,34020053600000,,,,$800,$800,Student Activity Groups (SAG),7
Black Student Union,Student Activity Group (SAG),46578,34020054400000,,,,"$26,500","$26,500",Student Activity Groups (SAG),15
Black Students in Health Association,Student Activity Group (SAG),46045,34020054800000,,,,$585,$585,Student Activity Groups (SAG),2
Board Games at Berkeley,Student Activity Group (SAG),91892,34020369600000,,,,$650,$650,Student Activity Groups (SAG),2
Bone Health Initiative,Student Activity Group (SAG),117788,34020284800000,,,,$700,$700,Student Activity Groups (SAG),9
Brazilian Student Association at Berkeley,Student Activity Group (SAG),117507,34020441600000,,,,$500,$500,Student Activity Groups (SAG),1
Brick by Brick at Berkeley,Student Activity Group (SAG),91961,34020603600000,,,,$500,$500,Student Activity Groups (SAG),1
BridgeUSA at Berkeley,Student Activity Group (SAG),165240,34020370400000,,,,"$4,000","$4,000",Student Activity Groups (SAG),7
Cal American Civil Liberties Union,Student Activity Group (SAG),45880,34020039200000,,,,$500,$500,Student Activity Groups (SAG),8
Cal Berkeley Democrats,Student Activity Group (SAG),45903,34020060400000,,,,"$4,500","$4,500",Student Activity Groups (SAG),27
Cal Dragon Boat,Student Activity Group (SAG),45904,34020062000000,,,,"$13,000","$13,000",Student Activity Groups (SAG),21
Cal Hawai'i Club,Student Activity Group (SAG),45905,34020062800000,,,,"$3,600","$3,600",Student Activity Groups (SAG),36
Cal Hiking and Outdoors Society,Student Activity Group (SAG),45906,34020063600000,,,,"$6,720","$6,720",Student Activity Groups (SAG),76
Cal in the Capital,Student Activity Group (SAG),45907,34020064400000,,,,"$1,500","$1,500",Student Activity Groups (SAG),46
Cal Japan Club,Student Activity Group (SAG),45909,34020064800000,,,,"$2,800","$2,800",Student Activity Groups (SAG),17
Cal Pre-Vet Club,Student Activity Group (SAG),45912,34020066400000,,,,$585,$585,Student Activity Groups (SAG),14
Cal Queer & Asian,Student Activity Group (SAG),46079,34020066800000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),16
Cal Taiko,Student Activity Group (SAG),45916,34020068000000,,,,"$5,600","$5,600",Student Activity Groups (SAG),19
Cal Undergraduate Public Health Coalition,Student Activity Group (SAG),45918,34020068400000,,,,"$1,030","$1,030",Student Activity Groups (SAG),20
California Mock Trial,Student Activity Group (SAG),45919,34020070000000,,,,"$30,000","$30,000",Student Activity Groups (SAG),24
Cantonese Initiative of Berkeley,Student Activity Group (SAG),385228,34020598000000,,,,$450,$450,Student Activity Groups (SAG),1
Caribbean Student Association,Student Activity Group (SAG),385095,34020600000000,,,,$450,$450,Student Activity Groups (SAG),1
Celerity Traditional Dance Team,Student Activity Group (SAG),368856,34020580400000,,,,$500,$500,Student Activity Groups (SAG),1
Chess Club at Berkeley,Student Activity Group (SAG),91902,34020343200000,,,,$650,$650,Student Activity Groups (SAG),2
Chinese A Cappella at Berkeley,Student Activity Group (SAG),91326,34020274000000,,,,$800,$800,Student Activity Groups (SAG),8
Chinese Student Association,Student Activity Group (SAG),45927,34020076400000,,,,"$13,900","$13,900",Student Activity Groups (SAG),35
Chinese Undergraduate Pre-Law Student Association,Student Activity Group (SAG),351386,34020536000000,,,,$650,$650,Student Activity Groups (SAG),3
Cinematic Arts and Production Club,Student Activity Group (SAG),222010,34020472400000,,,,"$6,000","$6,000",Student Activity Groups (SAG),5
Circle K International,Student Activity Group (SAG),45928,34020078400000,,,,"$5,040","$5,040",Student Activity Groups (SAG),30
Code For Good,Student Activity Group (SAG),343558,34020410000000,,,,$650,$650,Student Activity Groups (SAG),3
Codeology,Student Activity Group (SAG),91287,34020398400000,,,,"$2,000","$2,000",Student Activity Groups (SAG),7
Codify,Student Activity Group (SAG),368338,34020559200000,,,,$400,$400,Student Activity Groups (SAG),2
Cognitive Science Students Association,Student Activity Group (SAG),46287,34020081600000,,,,$500,$500,Student Activity Groups (SAG),4
Collaborative Dorms Society,Student Activity Group (SAG),378430,34020586800000,,,,$500,$500,Student Activity Groups (SAG),1
ColorStack at Berkeley,Student Activity Group (SAG),385102,34020597200000,,,,$500,$500,Student Activity Groups (SAG),2
Computer Science Undergraduate Association,Student Activity Group (SAG),45930,34020085600000,,,,"$2,024","$2,024",Student Activity Groups (SAG),50
Consult Your Community (CYC) at Berkeley,Student Activity Group (SAG),83091,34020086000000,,,,"$1,700","$1,700",Student Activity Groups (SAG),11
Core Consulting Group,Student Activity Group (SAG),361237,34020549200000,,,,$500,$500,Student Activity Groups (SAG),2
Creative Applications to Life in Origami,Student Activity Group (SAG),46563,34020087200000,,,,$600,$600,Student Activity Groups (SAG),11
Creative Writers Association,Student Activity Group (SAG),220452,34020594400000,,,,$650,$650,Student Activity Groups (SAG),1
Cricket Club of Berkeley,Student Activity Group (SAG),91905,34020434800000,,,,$650,$650,Student Activity Groups (SAG),3
Crossword Club,Student Activity Group (SAG),122515,34020602800000,,,,$450,$450,Student Activity Groups (SAG),1
CS KickStart,Student Activity Group (SAG),56944,34020089200000,,,,"$4,000","$4,000",Student Activity Groups (SAG),10
Dance Games at Berkeley,Student Activity Group (SAG),342892,34020520400000,,,,$585,$585,Student Activity Groups (SAG),3
Dance the Bay,Student Activity Group (SAG),92069,34020090400000,,,,"$1,530","$1,530",Student Activity Groups (SAG),11
